Unnamed: 0,Title,Duration,level,lien,description,formateur,Certification,Date,image_source,price,cost_co,cost_year,duration
541,Algorithmic Thinking (Part 2),40 hours,Level : Intermediate,https://www.my-mooc.com/en/resource/start/1265,"Experienced Computer Scientists analyze and solve computational problems at a level of abstraction that is beyond that of any particular programming language. This two-part class is designed to train students in the mathematical concepts and process of ""Algorithmic Thinking"", allowing them to build simpler, more efficient solutions to computational problems. In part 2 of this course, we will study advanced algorithmic techniques such as divide-and-conquer and dynamic programming. As the central part of the course, students will implement several algorithms in Python that incorporate these techniques and then use these algorithms to analyze two large real-world data sets. The main focus of these tasks is to understand interaction between the algorithms and the structure of the data sets being analyzed by these algorithms. Once students have completed this class, they will have both the mathematical and programming skills to analyze, design, and program solutions to a wide range of computational problems. While this class will use Python as its vehicle of choice to practice Algorithmic Thinking, the concepts that you will learn in this class transcend any particular programming language.",Rice University,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/00fe0cf17151cad67d90f1bd1e425104039d06d1.png,47,0.47g of CO2,56.08kg of CO2,40
542,Hyperledger Sawtooth for Application Developers,14 hours,Level : Intermediate,https://www.my-mooc.com/en/resource/start/12648,"Over the past few years, there has been a lot of talk about blockchain and its potential in the enterprise landscape. Today, blockchain is no longer a hype: it has become a reality, and is transforming processes and how enterprises do business, across a wide range of industries.Hyperledger Sawtooth is an open source project under the Hyperledger umbrella, and works as an enterprise-level blockchain system used for building, deploying, and running distributed ledger applications and networks.",Edx,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a7dbf6913ef38e2d61acd3d9b08117dcdba2eeeb.png,48,0.47g of CO2,56.08kg of CO2,14
543,CS50's Computer Science for Lawyers,30 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/12610,"This course is a variant of HarvardUniversity's introduction to computer science, CS50, designed especially for lawyers (and law students). Whereas CS50 itself takes a bottom-up approach, emphasizing mastery of low-level concepts and implementation details thereof, this course takes a top-down approach, emphasizing mastery of high-level concepts and design decisions related thereto. Ultimately, it equips students with a deeper understanding of the legal implications of technological decisions made by clients.",Edx,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a7dbf6913ef38e2d61acd3d9b08117dcdba2eeeb.png,53,0.47g of CO2,56.08kg of CO2,30
544,"Algorithms: Design and Analysis, Part 2",36 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/1259,In this course you will learn several fundamental principles of advanced algorithm design: greedy algorithms and applications; dynamic programming and applications; NP-completeness and what it means for the algorithm designer; the design and analysis of heuristics; and more.,Stanford University,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/6124f1116dd918a983aa8aeea3b4c504e3a12e94.png,44,0.47g of CO2,56.08kg of CO2,36
545,Heterogeneous Parallel Programming,54 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/1253,"This course introduces concepts, languages, techniques, and patterns for programming heterogeneous, massively parallel processors. Its contents and structure have been significantly revised based on the experience gained from its initial offering in 2012. It covers heterogeneous computing architectures, data-parallel programming models, techniques for memory bandwidth management, and parallel algorithm patterns.",University of Illinois at Urbana-Champaign,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a2a4c6347bfc4b529b7439677b83f64268fd17a7.png,36,0.47g of CO2,56.08kg of CO2,54
546,Cloud Computing Concepts: Part 2,50 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/1249,"Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies – all centered around distributed systems. Learn about such fundamental distributed computing ""concepts"" for cloud computing. Some of these concepts include: clouds, MapReduce, key-value/NoSQL stores, classical distributed algorithms, widely-used distributed algorithms, scalability, trending areas, and much, much more! Know how these systems work from the inside out. Get your hands dirty using these concepts with provided homework exercises. In the programming assignments, implement some of these concepts in template code (programs) provided in the C++ programming language. Prior experience with C++ is required. The course also features interviews with leading researchers and managers, from both industry and academia. This course builds on the material covered in the Cloud Computing Concepts, Part 1 course.",University of Illinois at Urbana-Champaign,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a2a4c6347bfc4b529b7439677b83f64268fd17a7.png,46,0.47g of CO2,56.08kg of CO2,50
547,Make Your Own App,56 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11938,"Using motivational videos, introductory sections, an interactive code editor, challenges and peer review throughout this course you will develop a working chat app. While doing so you can earn credits and points, receive badges and fulfill achievements in order to be able to see and compare your progress with other students. Starting with simple HTML content and ordinary CSS rules you will gradually improve your app and add increasing interaction within every week using JavaScript and JQuery. After completing this course you’ll be able to tackle almost any idea you might have and build an app that fulfills your needs.",Technische Universität München,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/114913022a54741738833aea29300396c684bce6.png,53,0.47g of CO2,56.08kg of CO2,56
548,"Human-Computer Interaction IV: Evaluation, Agile Methods & Beyond",30 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11741,"This course takes you through the last nine lessons of CS6750: Human-Computer Interaction as taught in the Georgia Tech Online Master of Science in Computer Science program.In this final course in the professional certificate, you’ll complete your understanding of the design life cycle, and learn about the modern relevance of human-computer interaction.",The Georgia Institute of Technology,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/aa4bd47d6fdb5cd9c9082641599b0c19e4605a04.png,36,0.47g of CO2,56.08kg of CO2,30
549,"Human-Computer Interaction III: Ethics, Needfinding & Prototyping",30 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11740,"This course takes you through lessons 14 through 18 of CS6750: Human-Computer Interaction as taught in the Georgia Tech Online Master of Science in Computer Science program.In this course, you’ll begin by learning the design life cycle. This is the process by which we investigate user needs, brainstorm potential designs, create prototypes, and evaluate those prototypes. This life cycle provides the structure for the third and fourth courses in this professional certificate.",The Georgia Institute of Technology,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/aa4bd47d6fdb5cd9c9082641599b0c19e4605a04.png,43,0.47g of CO2,56.08kg of CO2,30
550,Principles of Computing (Part 1),50 hours,Level : Intermediate,https://www.my-mooc.com/en/resource/start/1174,"This two-part course builds upon the programming skills that you learned in our Introduction to Interactive Programming in Python course. We will augment those skills with both important programming practices and critical mathematical problem solving skills. These skills underlie larger scale computational problem solving and programming. The main focus of the class will be programming weekly mini-projects in Python that build upon the mathematical and programming principles that are taught in the class. To keep the class fun and engaging, many of the projects will involve working with strategy-based games. In part 1 of this course, the programming aspect of the class will focus on coding standards and testing. The mathematical portion of the class will focus on probability, combinatorics, and counting with an eye towards practical applications of these concepts in Computer Science. Recommended Background - Students should be comfortable writing small (100+ line) programs in Python using constructs such as lists, dictionaries and classes and also have a high-school math background that includes algebra and pre-calculus.",Rice University,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/00fe0cf17151cad67d90f1bd1e425104039d06d1.png,14,0.47g of CO2,56.08kg of CO2,50
551,"Human-Computer Interaction II: Cognition, Context & Culture",30 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11739,"This course takes you through lessons 9 through 13 of CS6750: Human-Computer Interaction as taught in the Georgia Tech Online Master of Science in Computer Science program.In this course, you’ll expand the scope through which you view human-computer interaction. You’ll start by going further inside the user’s mind to understand the role of mental models in guiding a user’s interaction with your system. A good user interface designer understands the mental models of their users and how representations can be used to correct those mental models.",The Georgia Institute of Technology,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/aa4bd47d6fdb5cd9c9082641599b0c19e4605a04.png,11,0.47g of CO2,56.08kg of CO2,30
552,Human-Computer Interaction I: Fundamentals & Design Principles,30 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11738,"This course takes you through the first eight lessons of CS6750: Human-Computer Interaction as taught in the Georgia Tech Online Master of Science in Computer Science program.In this course, you’ll take the first steps toward being a solid HCI practitioner and researcher. You’ll learn the fundamentals of how HCI relates to fields like user experience design, user interface design, human factors engineering, and psychology. You’ll also learn how human-computer interaction has influence across application domains like healthcare and education; technology development like virtual and augmented reality; and broader ideas like context-sensitive computing and information visualization.",The Georgia Institute of Technology,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/aa4bd47d6fdb5cd9c9082641599b0c19e4605a04.png,53,0.47g of CO2,56.08kg of CO2,30
553,"Data Management, Data Security and Robot Operating System as a Common Tool for IoT",20 hours,Level : Advanced,https://www.my-mooc.com/en/resource/start/11653,"If you are interested in home automation and connected devices, this course is for you.IoT security and privacy come as a big challenge with an increasing number of connected devices. Authors will guide you through the guideline and will show common vulnerabilities. After that part you will be able to make your work more secure.",Edx,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a7dbf6913ef38e2d61acd3d9b08117dcdba2eeeb.png,27,0.47g of CO2,56.08kg of CO2,20
554,IoT Networking and Fog Layer Devices,16 hours,Level : Intermediate,https://www.my-mooc.com/en/resource/start/11652,"If you have some experience with IoT end node devices, here comes advanced part for the networking.We present networking layer protocols, in details 6LoWPan and selected application level protocols including in depth presentation of the MQTT and CoAP protocols. We also present important facts on other popular networking protocols like Bluetooth, BLE, TCP/IP, UDP, HTTP and their relation and usability in IoT world. Course contains material covering different networking IoT scenarios, including gatewaying, routing, star and mesh network topologies.",Edx,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a7dbf6913ef38e2d61acd3d9b08117dcdba2eeeb.png,51,0.47g of CO2,56.08kg of CO2,16
555,A Subjective Introduction to the IoT,32 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11651,"This course covers an overview of selected IoT technologies, tools and methods. Firstly you'll find out what is IoT then we will guide you through the popular IoT hardware, including Arduino and Espressif ESP8266 and ESP32 System on Chips, sensors and actuators, finally through the introduction to the networking. Right enough for now to let you understand IoT idea, start programming and embrace IoT technology. Even configure your devices to talk to your home network and send data over MQTT to the cloud.",Edx,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/a7dbf6913ef38e2d61acd3d9b08117dcdba2eeeb.png,36,0.47g of CO2,56.08kg of CO2,32
556,General Game Playing,40 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/1161,Learn about General Game Playing (GGP) and develop GGP programs capable of competing against humans and other programs in GGP competitions .,Stanford University,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/6124f1116dd918a983aa8aeea3b4c504e3a12e94.png,54,0.47g of CO2,56.08kg of CO2,40
557,Open Source and the 5G Transition,6 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11584,"5G networks are being built with open source software and standards. Operators and vendors are integrating these technologies on an unprecedented level in order to realize the promise of 5G. Open source allows operators to experiment with business models and deliver new services, and it allows businesses to derive more value from their neworkarchitecture.",The Linux Foundation,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/b83d23b152dd81dd618e07efdec460c556f22d82.jpg,29,0.47g of CO2,56.08kg of CO2,6
558,Transacting on the Blockchain,8 hours,Level : Intermediate,https://www.my-mooc.com/en/resource/start/11564,"Today, large intermediaries establish trust in our economy and control the movement, storage, and allocation of money and assets. The status quo, however, is rife with inefficiencies. In this course, we’ll address the many challenges of the status quo and discuss how cryptoassets, smart contracts, new identity systems, and new financial business models can help overcome them. You’ll learn how blockchain technology empowers individuals, entrepreneurs, and businesses with the tools they need to help level the playing field and to participate in the value they create. By the end of this course, you’ll learn how and why transacting on the blockchain can help us bring about a future that is faster, fairer, and more distributed than the world we inhabit today.",INSEAD,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/13bf215637f6bf5555d5dc573403aa8f898214e2.png,20,0.47g of CO2,56.08kg of CO2,8
559,Blockchain and Business: Applications and Implications,13 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11563,"Blockchain will bring about profound changes to business, and even to the nature of business itself.  This technology will disrupt how enterprises are funded and managed, how they create value, and even how they perform basic functions like marketing and accounting. In this course you will learn how blockchain technology will penetrate into the structures of organizations. You will explore how blockchain will transform the roles of the C-Suite, and how a blockchain can be used to manage and protect intellectual property. You will be able to identify the different layers of the blockchain technology stack, and explain how these affect the governance of blockchain systems. As well, you will be able to identify seven qualities that a region in the world needs in order to attract technology startups and to build a vibrant blockchain ecosystem.",INSEAD,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/13bf215637f6bf5555d5dc573403aa8f898214e2.png,29,0.47g of CO2,56.08kg of CO2,13
560,Introduction to Blockchain Technologies,14 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11550,"In this course, we will discuss the limitations of the Internet for business and economic activity, and explain how blockchain technology represents the way forward. After completing this course, you will be able to explain what blockchain is, how it works, and why it is revolutionary. You will learn key concepts such as mining, hashing, proof-of-work, public key cryptography, and the double-spend problem. You’ll be able to describe seven design principles for blockchain technology, and the challenges facing the people developing it. You’ll also meet the players in the blockchain ecosystem, and consider your own role in stewarding the blockchain revolution.",INSEAD,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/13bf215637f6bf5555d5dc573403aa8f898214e2.png,35,0.47g of CO2,56.08kg of CO2,14
561,Blockchain Opportunity Analysis,12 hours,Level : Introductory,https://www.my-mooc.com/en/resource/start/11549,"In this fourth and final course of the specialization, you will synthesize your learning into a project deliverable called a Blockchain Opportunity Analysis. The goals of this course are twofold: One, it’s for you to identify a specific need or problem in your chosen industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, including how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools that entrepreneurs use to organize their findings. Throughout this process, you will hear from real-world practitioners who have hands-on experience in the blockchain ecosystem. Additionally, by participating in this course you will gain access to our Blockchain Case Commons—a crowdsourced collection of blockchain applications and use-cases spanning multiple industries. As an outcome of this course, you’ll walk away with a consolidated, peer-reviewed Blockchain Opportunity Analysis, which you can use to pitch your idea to your organization or even to potential investors.",INSEAD,Fee-based certification,self pace,https://cdn.my-mooc.com/media/cache/conceptor_100x75/conceptor/logo/13bf215637f6bf5555d5dc573403aa8f898214e2.png,21,0.47g of CO2,56.08kg of CO2,12
